yearID,AVG(S.salary),MAX(S.salary)
1985,476299.4473,2130300
1986,417147.0434,2800000
1987,434729.4657,2127333
1988,453171.0769,2340000
1989,506323.0816,2766667
1990,511973.6943,3200000
1991,894961.1942,3800000
1992,1047520.5761,6100000
1993,976966.5590,6200000
1994,1049588.5600,6300000
1995,964979.0740,9237500
1996,1027909.2911,9237500
1997,1218687.4432,10000000
1998,1280844.5601,14936667
1999,1485316.8489,11949794
2000,1992984.5718,15714286
2001,2279841.0616,22000000
2002,2392526.6217,22000000
2003,2573472.9480,22000000
2004,2491776.1047,22500000
2005,2633830.8039,26000000
2006,2834520.8999,21680727
2007,2941435.8515,23428571
2008,3136517.1379,28000000
2009,3277646.9791,33000000
2010,3278746.8253,33000000
2011,3318838.2491,32000000
2012,3458421.2170,30000000
2013,3723344.3534,29000000
2014,3980445.9140,26000000
2015,4301276.0942,32571000
2016,4396409.6038,33000000
