yearID,salary,nameFirst,nameLast
1985,2130300,Mike,Schmidt
1986,2800000,George,Foster
1987,2127333,Mike,Schmidt
1988,2340000,Ozzie,Smith
1989,2766667,Orel,Hershiser
1990,3200000,Robin,Yount
1991,3800000,Darryl,Strawberry
1992,6100000,Bobby,Bonilla
1993,6200000,Bobby,Bonilla
1994,6300000,Bobby,Bonilla
1995,9237500,Cecil,Fielder
1996,9237500,Cecil,Fielder
1997,10000000,Albert,Belle
1998,14936667,Gary,Sheffield
1999,11949794,Albert,Belle
2000,15714286,Kevin,Brown
2001,22000000,Alex,Rodriguez
2002,22000000,Alex,Rodriguez
2003,22000000,Alex,Rodriguez
2004,22500000,Manny,Ramirez
2005,26000000,Alex,Rodriguez
2006,21680727,Alex,Rodriguez
2007,23428571,Jason,Giambi
2008,28000000,Alex,Rodriguez
2009,33000000,Alex,Rodriguez
2010,33000000,Alex,Rodriguez
2011,32000000,Alex,Rodriguez
2012,30000000,Alex,Rodriguez
2013,29000000,Alex,Rodriguez
2014,26000000,Zack,Greinke
2015,32571000,Clayton,Kershaw
2016,33000000,Clayton,Kershaw
