yearID,playerID
1920,ruthba01
1921,ruthba01
1927,ruthba01
1928,ruthba01
1930,wilsoha01
1932,foxxji01
1938,foxxji01
1938,greenha01
1947,kinerra01
1947,mizejo01
1949,kinerra01
1955,mayswi01
1956,mantlmi01
1961,mantlmi01
1965,mayswi01
1977,fostege01
1990,fieldce01
1995,belleal01
1996,anderbr01
1996,mcgwima01
1997,griffke02
1998,griffke02
1998,vaughgr01
2000,sosasa01
2001,gonzalu01
2001,rodrial01
2002,rodrial01
2002,thomeji01
2005,jonesan01
2006,howarry01
2006,ortizda01
2007,fieldpr01
2007,rodrial01
2010,bautijo02
2013,davisch02
