yearID,WS_winner,Name,salary,BOS_Player_Name,salary
1985,KCA,"George Brett",1000000,"Bob Stanley",1075000
1986,NYN,"George Foster",2800000,"Jim Rice",1984423
1987,MIN,"Kent Hrbek",1310000,"Jim Rice",2110000
1988,LAN,"Fernando Valenzuela",2050000,"Jim Rice",2214865
1989,OAK,"Jose Canseco",1600000,"Jim Rice",2354748
1990,CIN,"Tom Browning",2125000,"Roger Clemens",2600000
1991,MIN,"Jack Morris",3700000,"Danny Darwin",3250000
1992,TOR,"Jack Morris",4450000,"Frank Viola",4833333
1993,TOR,"Joe Carter",5550000,"Andre Dawson",4875000
1995,ATL,"Greg Maddux",6500000,"Jose Canseco",5800000
1996,NYA,"Ruben Sierra",6200000,"Roger Clemens",5500000
1997,FLO,"Alex Fernandez",7000000,"Mo Vaughn",6350000
1998,NYA,"Bernie Williams",8300000,"Pedro Martinez",7575000
1999,NYA,"Bernie Williams",9857143,"Pedro Martinez",11100000
2000,NYA,"Bernie Williams",12357143,"Pedro Martinez",11500000
2001,ARI,"Randy Johnson",13350000,"Manny Ramirez",13050000
2002,ANA,"Tim Salmon",9650000,"Manny Ramirez",15462727
2003,FLO,"Ivan Rodriguez",10000000,"Manny Ramirez",20000000
2004,BOS,"Manny Ramirez",22500000,"Manny Ramirez",22500000
